STATION,STATION_NAME,DATE,HPCP
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 12:00,0.08
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 13:00,0.11
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 14:00,0.15
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 15:00,0.29
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 16:00,0.31
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 17:00,0.41
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 18:00,0.29
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 19:00,0.20
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 20:00,0.17
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 21:00,0.27
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 22:00,0.39
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110827 23:00,0.31
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 00:00,0.31
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 01:00,0.07
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 02:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 03:00,0.12
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 04:00,0.16
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 05:00,0.01
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 06:00,0.00
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 07:00,0.04
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 08:00,0.09
COOP:448906,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20110828 09:00,0.00
